historia-francorum_zeile;historia-francorum_text;bibelstelle;vulgata_zeile;vulgata_text;in Clemetina?
1200000008;ad dies ist ein längeres Zitat, das so auch im anderen Text auftaucht und von Tracer gefunden werden müsste.;;1100000013;dies ist ein längeres Zitat, das so auch im anderen Text auftaucht und von Tracer gefunden werden müsste tertius.;
1200000227;Nec mora, adest Dominus, fortis et potens in praelio(Psal. XXIII, 8): protexit filios, et prostravit inimicos.;Ps 24:8 (23:8);1100014246;quis est iste rex gloriae Dominus fortis et potens Dominus fortis in proelio;ja, eindeutiger
1200000258;Exsurge et adjuva nos, Domine, propter nomen tuum(Psal. XLIII).;Ps 44 (43);1100014598;Exsurge, Domine, adjuva nos, et redime nos propter nomen tuum.;ja, letzter Vers
1200000260;Surrexit itaque adjutor in opportunitatibus Dominus(Psal. IX);Ps 9 (9);1100014031;"Et factus est Dominus refugium pauperi ; adjutor in opportunitatibus, in tribulatione.";ja, Vers 10
1200000396;Domine, quis habitabit in tabernaculo tuo, aut quis requiescet in monte sancto tuo(Psal. XIV, 1);Ps;1100014089;Psalmus David. Domine, quis habitabit in tabernaculo tuo ? aut quis requiescet in monte sancto tuo ?;ja
1200000406;"Dominus fortis et potens; Dominus potens in praelio?(Psal. XXIII, 8.)";Ps;1100014250;Quis est iste rex gloriæ ? Dominus fortis et potens, Dominus potens in prælio.;
1200000438;Haec quoque dices ad illos, ut contineant se sicut Epistola docet fratris mei Petri, quae hodie legitur. Et Epistola fuit haec: Humiliamini sub potenti manu Dei(I Pet. V, 6);;;;
1200000484;O quam beata gens, cujus est Dominus Deus ejus!(Psal. XXXII, CXLIII.);Ps;1100014379;"Beata gens cujus est Dominus Deus ejus ; populus quem elegit in hæreditatem sibi.";Vers 12
1200000485;O quam beatus populus, quem Deus elegit!(Psal. XXXII.);Ps;1100014379;"Beata gens cujus est Dominus Deus ejus ; populus quem elegit in hæreditatem sibi.";
1200000798;Sed quia, secundum Apostolum, charitas nunquam excidit(I Cor. XIII, 8);;1100028674;Caritas numquam excidit : sive prophetiæ evacuabuntur, sive linguæ cessabunt, sive scientia destruetur.;
1200000864;Reus est mortis, crucifigatur, quia regem se fecit, et Dei Filium se dixit(Matth., XXVI);;1100024121;quid vobis videtur ? At illi respondentes dixerunt : Reus est mortis.;Vers 66
1200001125;Jam ipse Dominus posuerat flumina in desertum, et exitus aquarum in sitim, a malitia eorum qui terras illas incolebant(Psal. CVI, 33);Ps;1100015733;"Posuit flumina in desertum, et exitus aquarum in sitim ;";
1200001250;Haec dies quamfecit Dominus, exsultemus et laetemur in ea(Psal. CXVII, 23);Ps;1100015893;A Domino factum est istud, et est mirabile in oculis nostris.;
1200001290;Si peccaverit in te populus tuus et conversusegerit poenitentiam, veniensque oraverit in loco isto, tu exaudies de coelo, Domine: et libera eum de manibus inimicorum suorum(III Reg. VIII);;;;