historia-francorum_zeile;historia-francorum_text;vulgata_zeile;vulgata_text;anzahl_uebereinstimmende_wortfolgen;anzahl_uebereinstimmende_woerter;anzahl_bigramme;anzahl_trigramme;in Clemetina?
1200000227;Nec mora, adest Dominus, fortis et potens in praelio(Psal. XXIII, 8): protexit filios, et prostravit inimicos.;1100014256;quis est iste rex gloriae Dominus fortis et potens Dominus fortis in proelio;1;6;4;3;ja, eindeutiger
1200000258;Exsurge et adjuva nos, Domine, propter nomen tuum(Psal. XLIII).;1100014613;Exsurge, Domine, adjuva nos, et redime nos propter nomen tuum.;3;8;3;1;ja, letzter Vers
1200000260;Surrexit itaque adjutor in opportunitatibus Dominus(Psal. IX);1100014030;"Et factus est Dominus refugium pauperi ; adjutor in opportunitatibus, in tribulatione.";1;4;2;1;ja, Vers 10
1200000396;Domine, quis habitabit in tabernaculo tuo, aut quis requiescet in monte sancto tuo(Psal. XIV, 1);1100014090;Psalmus David. Domine, quis habitabit in tabernaculo tuo ? aut quis requiescet in monte sancto tuo ?;1;13;12;11;ja
1200000406;"Dominus fortis et potens; Dominus potens in praelio?(Psal. XXIII, 8.)";1100014256;Quis est iste rex gloriæ ? Dominus fortis et potens, Dominus potens in prælio.;1;6;7;6;
1200000438;Haec quoque dices ad illos, ut contineant se sicut Epistola docet fratris mei Petri, quae hodie legitur. Et Epistola fuit haec: Humiliamini sub potenti manu Dei(I Pet. V, 6);1100030696;Humiliamini igitur sub potenti manu Dei, ut vos exaltet in tempore visitationis;1;5;3;2;
1200000484;O quam beata gens, cujus est Dominus Deus ejus!(Psal. XXXII, CXLIII.);1100014387;"Beata gens cujus est Dominus Deus ejus ; populus quem elegit in hæreditatem sibi.";1;6;6;6;Vers 12
1200000485;O quam beatus populus, quem Deus elegit!(Psal. XXXII.);1100014387;"Beata gens cujus est Dominus Deus ejus ; populus quem elegit in hæreditatem sibi.";0;5;1;0;
1200000798;Sed quia, secundum Apostolum, charitas nunquam excidit(I Cor. XIII, 8);1100028900;Caritas numquam excidit : sive prophetiæ evacuabuntur, sive linguæ cessabunt, sive scientia destruetur.;1;3;2;1;
1200000864;Reus est mortis, crucifigatur, quia regem se fecit, et Dei Filium se dixit(Matth., XXVI);1100024350;quid vobis videtur ? At illi respondentes dixerunt : Reus est mortis.;1;4;2;1;Vers 66
1200001125;Jam ipse Dominus posuerat flumina in desertum, et exitus aquarum in sitim, a malitia eorum qui terras illas incolebant(Psal. CVI, 33);1100015787;"Posuit flumina in desertum, et exitus aquarum in sitim ;";1;9;8;7;
1200001250;Haec dies quamfecit Dominus, exsultemus et laetemur in ea(Psal. CXVII, 23);1100015948;A Domino factum est istud, et est mirabile in oculis nostris.;0;;;;
1200001290;Si peccaverit in te populus tuus et conversusegerit poenitentiam, veniensque oraverit in loco isto, tu exaudies de coelo, Domine: et libera eum de manibus inimicorum suorum(III Reg. VIII);;;;;;;